,title,genre,year,country,rate,description
0,Чебурашка 2,"Фэнтези, Комедия, Приключения, Семейный",2026,Россия,8.4,"Уже год Чебурашка живет у Гены. Шаловливый ушастик вполне освоился и теперь стремится к самостоятельности, а его опекуну все чаще приходится проявлять строгость. Очередное баловство Чебурашки рискует сорвать празднование дня рождения Сони. Чтобы избежать наказания, пушистик сбегает в горы вместе с друзьями. У Гены и без того хватает проблем: на месте его дома планируют построить парк аттракционов. Но неожиданно ради спасения детей взрослые сплачиваются и находят выход из непростой ситуации."
1,Несвятая Валентина,"Комедия, Мелодрама",2026,Россия,7.4,"Зимняя романтическая комедия с Анастасией Красовской и Глебом Калюжным. Валя работает в цветочном магазине и ненавидит День святого Валентина. Девушке ужасно не везет с партнерами, и теперь у нее открывается аллергия на нежные чувства окружающих. А влюблены вокруг Вали практически все: родители, друзья, коллеги. Но стоит ей чихнуть, как в парах вспыхивают конфликты! Помочь подруге разобраться в происходящем вызывается Рома, которого недавно бросили."
2,Добрый доктор,Комедия,2026,Россия,8.5,"Комедия от создателей «Полицейский с Рублевки. Новогодний беспредел». Участковый врач Олег Семеныч Мандрыкин привык в одиночку справляться с многочисленными пациентами. Но прямо перед Новым годом его сбивает курьер Дима, отчего доктор оказывается не в состоянии разъезжать по вызовам. Однако у виновника ДТП есть незаконченное медицинское образование, и Олег Семеныч уговаривает курьера поработать вместо себя."
3,Праведник,"Драма, История, Военный",2023,Россия,8.9,"Александр Яценко, Константин Хабенский и Марк Эйдельштейн в военной драме, основанной на подвиге советского офицера во время Великой Отечественной войны. 1942 год. Партизан отряда «Мститель» Николай Киселев получает сложнейшее задание — вывести две сотни еврейских беженцев с оккупированных врагами белорусских территорий. В качестве подмоги у Киселева всего семь партизан, а вокруг вражеские группы и ловушки. Николаю предстоит пройти полторы тысячи километров вместе с измученными голодом детьми, женщинами и стариками, чтобы добраться до безопасного места и обрести надежду на будущее."
4,Мистер Нокаут,"Драма, Спорт, Биография",2022,Россия,8.9,"Драматичный путь к славе советского атлета, ставшего победителем престижнейших соревнований. Молодой и талантливый чемпион из Ташкента Валерий Попенченко теряет страсть к боксу. Опытный тренер Григорий Кусикьянц замечает в парне огромный потенциал. Он берется за перевоспитание и подготовку одаренного спортсмена, чтобы сделать из него будущего победителя Олимпийских игр."
5,На острие,"Драма, Спорт",2019,Россия,9.0,"Александра Покровская долго и упорно поднималась на вершину турнирной таблицы. Став лидером российской сборной, она поставила последнюю цель — взять олимпийское золото и завершить карьеру. Неожиданно для всех, в битву за медаль вступает 19-летняя Кира из небольшого провинциального городка. Юная саблистка с легкостью побеждает соперниц и становится сенсацией в СМИ. Одержимость победой сталкивает лбами двух одаренных соперниц не только на соревнованиях, но и в жизни. Чем обернется битва вчерашней юниорки с чемпионкой мира?"
6,Алиса в Стране Чудес (2025),"Фэнтези, Приключения, Мюзикл",2025,Россия,7.1,"Яркое музыкальное приключение по стихам Владимира Высоцкого со звездным актерским составом. 15-летняя школьница Алиса попадает в Страну Чудес. Среди жителей она узнает своих родных, знакомых и друзей, но никто из них не узнает Алису. Чтобы вернуться домой, Алисе предстоит преодолеть множество препятствий и, наконец, повзрослеть. Ведь только повзрослев, она сможет спасти Страну Чудес от настоящей катастрофы."
7,Культурная комедия,Комедия,2024,Россия,8.4,"Комедия с Алексеем Чадовым и Юрием Стояновым о ценности культурного наследия. Циничный чиновник из Перми Виктор Летаев контролирует постройку дороги и интересуется исключительно своей сферой деятельности. Внезапно он узнает, что теперь регион заинтересован в развитии направления культуры и искусства. Чтобы не потерять работу, Виктор берется за изучение культурного наследия Пермского края, в чем ему пытается помочь молодая искусствовед Марина Николаевна."
8,Первый на Олимпе,"Драма, Спорт, Биография",2025,Россия,9.0,"История завоевания первого олимпийского золота СССР в академической гребле. Молодой блокадник Юра Тюкалов после войны начинает заниматься академической греблей. Но пережитые парнем драматичные события лишают его моральных и физических сил для интенсивных тренировок. Знакомство с наставниками Михаилом и Верой Савримович позволяет Юре начать жизнь с чистого листа и раскрыть свой потенциал. Впереди у юного спортсмена Олимпиада в Хельсинки, победить в которой ему помогут талант, стремление к цели, любовь и родная команда."
9,"Двое в одной жизни, не считая собаки",Мелодрама,2025,Россия,8.7,"Жизненная и добрая картина получила приз зрительских симпатий на ММКФ-2025. Интеллигентная супружеская пара пенсионеров Людмила Павловна и Игорь Николаевич живут одни в уютной квартире в центре Санкт-Петербурга. Их дети выросли и уехали, а компанию милым старикам составляет верная собака Пуля. Добрые, спокойные и терпеливые супруги с мудростью и оптимизмом встречают жизненные трудности и периодически принимают в своем доме тех, кому необходимо их тепло и поддержка."
10,Голосовой помощник,"Ужасы, Триллер",2025,Россия,8.5,"Напряженный хоррор о технологиях, которые обернулись против человека. Компания бывших однокурсников устраивает мини-отпуск в уютном загородном доме. В коттедже есть все удобства, включая умную колонку «Алену». Она умеет управлять домом, а еще знает, как развеселить заскучавшую компанию. Устройство предлагает гостям сыграть в игру, целью которой станет поиск правды о гибели их подруги. Сначала молодежь воспринимает предложение с шуткой, но, когда начинают вскрываться страшные тайны, каждый понимает, что попал в жестокую игру на выбывание."
11,Сон царя зверей,"Фэнтези, Приключения, Семейный",2026,Россия,7.5,"Короткая история с персонажами из мира «Волшебника Изумрудного города». Как-то Трусливый Лев видит сон, в котором начинает сбываться его сокровенная мечта, но совсем не так, как ему бы хотелось. Королева мышей Рамина обнаруживает признаки царя зверей в… Тотошке! Это крайне удивляет Льва, и между героями разворачивается забавная борьба за почетный титул. Однако вскоре они поймут, что быть царем – дело непростое и не такое интересное, как они себе нафантазировали."
12,Новогоднее письмо,"Драма, Комедия",2025,Россия,8.6,"Больше 30 лет Васо прожил в браке с любимой женой. Его жизнь внезапно переворачивает письмо от женщины из далекого прошлого, которая сообщает, что в Красноярске у него есть дочь. За три дня до Нового года он отправляется из солнечного Тбилиси в снежную Сибирь, чтобы разыскать своего ребенка. По пути он встречает таких же растерянных людей, которым необходимо совершить невозможное."
13,Стажёр по-русски,Комедия,2025,Россия,8.6,"Жизнь сотрудников обычной многопрофильной компании резко меняется, когда в нее устраивается курьером седовласый Николай Борисович. Позитивный пожилой мужчина подходит к работе с юмором, успешно выполняет заказы и стремительно поднимается по карьерной лестнице. На шее у старика всегда висит полароид, и каждое свое достижение он фиксирует на пленку, а затем кому-то отправляет по почте. Коллеги подозревают, что у нового сотрудника есть тайна, и решают ее разгадать."
14,Сводишь с ума,"Комедия, Мелодрама, Фэнтези",2025,Россия,8.9,"Романтическая комедия о фантастической любви героев из разных реальностей. Алиса переезжает в большую питерскую квартиру, где происходит нечто таинственное. Девушка видит в зеркале альтернативную реальность. Однако в том мире в квартире живет не она, а тусовщик Иван. Смогут ли герои распознать настоящую любовь и получится ли у них найти путь друг к другу?"
15,Стальная хватка,"Драма, Спорт, Биография",2023,США,7.3,"Суровый рестлер пытается любой ценой сделать из сыновей чемпионов. Боец Фриц фон Эрих не смог добиться больших успехов на ринге, но твердо решил, что его наследники станут лучшими в рестлинге. Сыновья Фрица начинают свой путь к вершине большого спорта, однако семейству фон Эрих предстоит заплатить за славу высокую цену."
16,Постучись в мою Тверь,"Комедия, Мелодрама",2025,Россия,8.4,"Романтическая комедия с сельским колоритом от братьев Андреасян. Столичная бизнесвумен Алиса отправляется в Тверскую область, чтобы выкупить участок земли у местного фермера Сергея. Но когда он узнает, что на месте его владений собираются строить завод, то разрывает сделку и просит девушку немедленно уехать. Но путь обратно преграждает внезапный ураган. Сергей вынужден приютить Алису, но с одним условием: отработкой на ферме. Бизнесвумен с радостью соглашается, ведь это отличная возможность уговорить Сергея на продажу земли. Но справится ли городская красотка с суровой деревенской жизнью?"
17,Олень,"Комедия, Драма, Мелодрама, Фэнтези",2025,СССР,8.7,"Андрей частенько соблазняет девушек и использует их чувства в корыстных целях. Очередной жертвой мачо становится Настя, внучка настоящей ведьмы. Тогда бабушка решает проучить подлеца и награждает его оленьими рогами. Избавиться от них Андрею поможет только взаимная любовь, но сам он едва ли понимает, что это значит. К счастью, Настя соглашается помочь несчастному и берется за перевоспитание."
18,Кракен,"Боевик, Фантастика, Драма",2025,Россия,8.7,"Захватывающий экшн от создателей «Т-34» и «Экипаж». Ракетный крейсер под командованием Александра Воронина пропадает с радаров во время важной миссии в Гренландском море. На субмарине установлено новое секретное оружие, которое не должно попасть в руки врагов. Брату капитана, Виктору Воронину, позволяют руководить спасательной операцией, но приставляют к нему адмирала Ольшанского во избежание импульсивных решений. Экипаж успел многое повидать и совсем не верит в сказки о морских чудовищах. Кто мог подумать, что геологические исследования пробудят от сна существо, казавшееся древним мифом."
19,Пророк. История Александра Пушкина,"Драма, Биография",2025,Россия,7.8,"Фильм, о котором говорит вся страна. История, ставшая легендой. Александр Пушкин — дерзкий, блистательный, гениальный. Он покоряет литературный мир, завоевывает сердца светского общества, а самые красивые женщины мечтают о его внимании. Каждое его слово — вызов, каждая строка — бессмертная поэзия. Но даже величайший талант не может скрыться от судьбы: ссылки, безденежье и власть, пытающаяся его сломать. Это история любви, свободы и феноменального таланта. Это история жизни, прожитой на грани, и трагической развязки, превратившей человека в бессмертный символ целой эпохи! Номинант на премию «Оскар» Юра Борисов в роли, которая уже вошла в историю, в фильме, который уже стал событием."
20,По-братски,Комедия,2025,Россия,8.0,"Комедия об улетном путешествии. Антон и Света Лебедевы решают развестись. Чтобы оформить все по закону, им приходится поехать в далекий северный городок Нежногорье, где был заключен их брак. Неожиданно в этом путешествии компанию супругам составляют соседи Валентин и Варвара Бублики с сыном Платоном. Поездка оборачивается для Антона и Светы безумным приключением, которое заставит их посмотреть на жизнь другими глазами."
21,Екатерина Великая,"Драма, Документальный, История",2025,Россия,8.7,"Продолжение исторических фильмов Андрея Кравчука, куда входят ленты «Пётр I. Последний царь и первый император» и «Императрицы». Сюжет драмы развернется вокруг правления Екатерины II Великой. В юности ей суждено было стать невестой Петра III и матерью будущего наследника престола. Но сильная и целеустремленная женщина хотела одного — править. Екатерина видела большой потенциал в Российской империи и мечтала воплотить свои идеи в жизнь, чтобы превратить страну в мощную, просвещенную державу. Она взошла на престол в результате государственного переворота и стала одной из величайших правительниц, прочно закрепив себя в истории России. Роли Екатерины Великой сыграли Анна Михалкова и Ольга Лерман."
22,Восхитительно!,"Драма, Комедия, История",2021,Франция,8.8,"Жизнеутверждающее кино с французским шармом. 1789 год. В канун Великой французской революции герцог Шамфор увольняет повара Мансерона и прогоняет его из своего замка. После этого Мансерон впадает в депрессию и теряет страсть к кулинарии. Все меняется, когда он встречает незнакомку Луиз, умоляющую обучить ее кулинарному искусству. Постепенно изгнанный повар пробуждает в себе любовь к своему делу и открывает трактир с изысканной кухней, которому суждено прогреметь на всю округу."
23,Анора,"Драма, Комедия, Мелодрама",2024,США,6.8,"Марк Эйдельштейн, Майки Мэдисон и Юра Борисов в романтическом драмеди с 5 премиями «Оскар», включая приз за лучший фильм. Очаровательная Анора танцует в бруклинском стрип-клубе. Знания русского языка помогают ей познакомиться с Ваней – избалованным сыном олигарха из России. Встреча с мажором превращает жизнь девушки в сказку, и совсем скоро пара женится. Только вот родители парня готовы пойти на все, чтобы импульсивный брак распался."
24,Пара на пару,"Комедия, Мелодрама",2025,Россия,7.9,"Ромком о любовном многоугольнике. Стеснительный преподаватель литературы Костя пытается вернуть свою жену Олю, которая ушла к обеспеченному мужчине постарше Сергею. Чтобы получить возможность поговорить с возлюбленной, он идет на отчаянный шаг и сближается с дочерью Сергея Соней. Девушка не горит желанием вступать в отношения с преподавателем, но пользуется этой возможностью, планируя поиграть на нервах отца перед его новой пассией. Внезапно супруги встречаются под одной крышей, но в разных парах."
